['月', 'm', 24590]
['风', 'n', 2]
['沉', 'v', 2]
['帛', 'ng', 2]
['箫声', 'n', 2]
['根源', 'n', 2]
['岳飞', 'nr', 2]
['人', 'n', 2]
['锦', 'ng', 2]
['十六', 'm', 2]
['监察', 'vn', 2]
['生', 'vn', 2]
['乖', 'a', 2]
['圣君', 'nrt', 2]
['亿年', 'm', 2]
['头脑', 'n', 2]
['观海', 'ns', 2]
['随行', 'd', 2]
['天伦', 'ns', 2]
['淡雅', 'z', 2]
['骧', 'vg', 2]
['河边', 's', 2]
['春牛', 'n', 2]
['水浪', 'n', 2]
['接地', 'v', 2]
['裘', 'nr', 2]
['经文', 'n', 2]
['请客', 'v', 2]
['治乱', 'v', 2]
['龙翔', 'nr', 2]
['昭昭', 'z', 2]
['避暑', 'v', 2]
['司徒', 'n', 2]
['鸣凤', 'nrt', 2]
['院里', 's', 2]
['桑榆', 'nr', 2]
['寒鸦', 'n', 2]
['捞月', 'v', 2]
['玉洁', 'nr', 2]
['水岸', 's', 2]
['当空', 's', 2]
['老衲', 'nr', 2]
['三台', 'm', 2]
['无灾', 'n', 2]
['物', 'zg', 2]
['生', 'vn', 2]
['名胜', 'n', 2]
['荒凉', 'a', 2]
['花阴', 'nr', 2]
['卡', 'n', 2]
['夏天', 't', 2]
['驱邪', 'v', 2]
['密云', 'ns', 2]
['轻', 'a', 2]
['宾主', 'n', 2]
['称帝', 'n', 2]
['人气', 'n', 2]
['砺', 'zg', 2]
['格格', 'n', 2]
['苦吟', 'v', 2]
['养儿', 'nr', 2]
['昔时', 't', 2]
['孕育', 'v', 2]
['人参', 'n', 2]
['来', 'v', 2]
['金缕', 'nr', 2]
['香', 'ns', 2]
['清远', 'a', 2]
['发扬', 'v', 2]
['养心', 'n', 2]
['自重', 'a', 2]
['立意', 'd', 2]
['三合', 'j', 2]
['新编', 'n', 2]
['矿', 'n', 2]
['白屋', 'n', 2]
['二年', 'm', 2]
['安边', 'ns', 2]
['沾襟', 'l', 2]
['离尘', 'n', 2]
['忠厚', 'a', 2]
['深恩', 'ns', 2]
['难堪', 'v', 2]
['仙游', 'n', 2]
['慢慢', 'd', 2]
['捧', 'v', 2]
['大功', 'n', 2]
['定数', 'n', 2]
['丝路', 'n', 2]
['派对', 'v', 2]
['耄', 'i', 2]
['至', 'p', 2]
['开落', 'v', 2]
['月', 'm', 2]
['谑', 'g', 2]
['院中', 's', 2]
['齐鸣', 'nr', 2]
['珍惜', 'a', 2]
['波罗', 'ns', 2]
['立春', 'nr', 2]
['惮', 'vg', 2]
['俱全', 'v', 2]
['醉鬼', 'n', 2]
['法制', 'n', 2]
['襟抱', 'n', 2]
['正式', 'ad', 2]
['问路', 'n', 2]
['招摇', 'v', 2]
['两条', 'm', 2]
['神灵', 'n', 2]
['婴儿', 'n', 2]
['干将', 'n', 2]
['盛会', 'n', 2]
['心净', 'a', 2]
['舌', 'n', 2]
['素质', 'n', 2]
['化为', 'v', 2]
['柳', 'n', 2]
['高潮', 'nr', 2]
['万分', 'm', 2]
['及', 'c', 2]
['时钟', 'n', 2]
['成行', 'v', 2]
['猛虎', 'n', 2]
['天', 'q', 2]
['戏言', 'n', 2]
['婆心', 'n', 2]
['达观', 'v', 2]
['竹篱', 'n', 2]
['谷中', 'nr', 2]
['凌霜', 't', 2]
['学术', 'n', 2]
['制锦', 'n', 2]
['飞雁', 'n', 2]
['沾襟', 'l', 2]
['遗爱', 'a', 2]
['古刹', 'n', 2]
['槛', 'g', 2]
['蛇盘', 'n', 2]
['校书', 'n', 2]
['仙桃', 'n', 2]
['小试', 'n', 2]
['开庭', 'n', 2]
['房价', 'n', 2]
['有', 'v', 2]
['托梦', 'nr', 2]
['苦短', 'v', 2]
['冤家', 'n', 2]
['长', 'a', 2]
['殊方', 'n', 2]
['稀奇', 'a', 2]
['号角', 'n', 2]
['嘲', 'v', 2]
['井蛙', 'n', 2]
['开山', 'ns', 2]
['诗', 'n', 2]
['真假', 'n', 2]
['兴盛', 'nz', 2]
['双行', 'n', 2]
['水陆', 'n', 2]
['演说', 'v', 2]
['太守', 'n', 2]
['摄', 'vg', 2]
['张狂', 'nr', 2]
['爬', 'v', 2]
['沃土', 'nr', 2]
['雕刻', 'n', 2]
['勇为', 'v', 2]
['非难', 'd', 2]
['植树', 'n', 2]
['鸿蒙', 'nr', 2]
['始皇', 'n', 2]
['鸟', 'n', 2]
['鹤顶红', 'i', 2]
['重山', 'ns', 2]
['心弦', 'n', 2]
['电光', 'n', 2]
['建议', 'n', 2]
['天', 'q', 2]
['老手', 'n', 2]
['实情', 'n', 2]
['篙', 'ng', 2]
['梧叶', 'n', 2]
['亩', 'q', 2]
['谋财', 'v', 2]
['珠江', 'ns', 2]
['尽', 'v', 2]
['中间', 'f', 2]
['风沙', 'n', 2]
['神功', 'a', 2]
['不成文', 'nz', 2]
['西方', 's', 2]
['炷', 'q', 2]
['山西', 'ns', 2]
['虚明', 'a', 2]
['绿意', 'n', 2]
['破土', 'v', 2]
['徽', 'n', 2]
['射虎', 'n', 2]
['屠龙', 'nr', 2]
['望族', 'nz', 2]
['费力', 'n', 2]
['饿汉', 'n', 2]
['旧雨', 'n', 2]
['鞭笞', 'v', 2]
['进', 'v', 2]
['水间', 'n', 2]
['弯弯', 'v', 2]
['誓死', 'v', 2]
['临流', 'b', 2]
['鸟道', 'n', 2]
['妙境', 'n', 2]
['焚', 'v', 2]
['丰姿', 'a', 2]
['劲旅', 'n', 2]
['乐', 'a', 2]
['葆', 'vg', 2]
['东陵', 'ns', 2]
['不倦', 'a', 2]
['方生', 'n', 2]
['利欲', 'n', 2]
['博古', 'ns', 2]
['美好', 'a', 2]
['远', 'a', 2]
['仙翁', 'n', 2]
['壮丽', 'a', 2]
['抬', 'v', 2]
['辣椒', 'n', 2]
['人', 'n', 2]
['维持', 'v', 2]
['野火', 'n', 2]
['雨', 'n', 2]
['形似', 'v', 2]
['柜', 'n', 2]
['现在', 't', 2]
['巨浪', 'nz', 2]
['皇恩', 'n', 2]
['飘摇', 'v', 2]
['驰驱', 'v', 2]
['层层', 'n', 2]
['渤海', 'ns', 2]
['篇篇', 'n', 2]
['三寸舌', 'i', 2]
['品质', 'n', 2]
['一等', 'm', 2]
['赤心', 'n', 2]
['一餐', 'm', 2]
['日', 'm', 2]
['物流', 'n', 2]
['集中', 'v', 2]
['浮瓜', 'n', 2]
['覆舟', 'n', 2]
['界限', 'n', 2]
['为', 'p', 2]
['叱', 'v', 2]
['同学', 'n', 2]
['亦非', 'v', 2]
['八阵图', 'nz', 2]
['一大', 'a', 2]
['扎', 'v', 2]
['避人', 'n', 2]
['花儿', 'n', 2]
['远虑', 'v', 2]
['力士', 'n', 2]
['汾阳', 'ns', 2]
['国士', 'n', 2]
['偷偷', 'd', 2]
['百回', 'm', 2]
['埋伏', 'v', 2]
['韦', 'nr', 2]
['年龄', 'n', 2]
['鞠躬', 'v', 2]
['杜康', 'nr', 2]
['耆老', 'n', 2]
['休息', 'v', 2]
['北阙', 'nr', 2]
['册', 'q', 2]
['邯郸', 'ns', 2]
['看门', 'v', 2]
['晶莹', 'a', 2]
['醒世', 'v', 2]
['奇谋', 'n', 2]
['朝廷', 'ns', 2]
['做工', 'v', 2]
['电视', 'n', 2]
['疗愁', 'v', 2]
['服装', 'vn', 2]
['九华', 'nz', 2]
['福临', 'ns', 2]
['初生', 'b', 2]
['原上', 'd', 2]
['优良', 'z', 2]
['介石', 'n', 2]
['燕山', 'ns', 2]
['风传', 'n', 2]
['华国', 'ns', 2]
['旅馆', 'n', 2]
['欢唱', 'v', 2]
['脱颖', 'nr', 2]
['飒飒', 'z', 2]
['经', 'n', 2]
['抗旱', 'vn', 2]
['合一', 'vn', 2]
['阔步', 'n', 2]
['楚地', 'ns', 2]
['中堂', 'ns', 2]
['啭', 'g', 2]
['皱眉', 'n', 2]
['污水', 'n', 2]
['见面', 'n', 2]
['尽心', 'd', 2]
['伪', 'j', 2]
['雅座', 'nz', 2]
['天乐', 'n', 2]
['凑', 'v', 2]
['拾遗', 'v', 2]
['霜露', 't', 2]
['育人', 'nrt', 2]
['全体', 'n', 2]
['雪里', 'nr', 2]
['通经', 'd', 2]
['埋骨', 'v', 2]
['脚跟', 'n', 2]
['銮', 'g', 2]
['务必', 'd', 2]
['包头', 'v', 2]
['追星', 'n', 2]
['礼貌', 'n', 2]
['针线', 'n', 2]
['洒扫', 'v', 2]
['鱼', 'n', 2]
['迟疑', 'd', 2]
['米', 'q', 2]
['宝岛', 'ns', 2]
['七宝', 'nz', 2]
['破车', 'v', 2]
['手下', 's', 2]
['几', 'm', 2]
['国画', 'n', 2]
['苔痕', 'n', 2]
['金丹', 'nr', 2]
['春风', 'n', 2]
['环佩', 'n', 2]
['沽名', 'v', 2]
['满袖', 'n', 2]
['翰苑', 'nz', 2]
['非人', 'b', 2]
['春', 'tg', 2]
['雪映', 'nr', 2]
['通俗', 'n', 2]
['高卧', 'nr', 2]
['笙', 'n', 2]
['飘风', 'v', 2]
['水烟', 'n', 2]
['天中', 's', 2]
['件', 'zg', 2]
['后', 'f', 2]
['蜗牛', 'n', 2]
['画堂', 'n', 2]
['颈', 'ng', 2]
['眷恋', 'v', 2]
['带笑', 'v', 2]
['闪电', 'v', 2]
['人影', 'n', 2]
['周末', 't', 2]
['难缠', 'v', 2]
['十亿', 'm', 2]
['百闻', 'n', 2]
['群情', 'n', 2]
['询', 'v', 2]
['消', 'n', 2]
['宽怀', 'a', 2]
['白干', 'nr', 2]
['筌', 'g', 2]
['冰华', 'nr', 2]
['端午', 't', 2]
['贪杯', 'n', 2]
['一月', 'm', 2]
['白条', 'n', 2]
['可恨', 'v', 2]
['三生石', 'n', 2]
['早熟', 'v', 2]
['柳幕', 'n', 2]
['体魄', 'n', 2]
['债', 'n', 2]
['炒股', 'v', 2]
['逢迎', 'v', 2]
['东邻', 'nr', 2]
['医德', 'n', 2]
['前朝', 't', 2]
['银盘', 'n', 2]
['斗气', 'n', 2]
['主宰', 'v', 2]
['前缘', 'n', 2]
['佬', 'ng', 2]
['灾区', 'n', 2]
['衣袖', 'n', 2]
['寿夭', 'nr', 2]
['早晚', 't', 2]
['缚', 'vg', 2]
['问', 'n', 2]
['邻', 'n', 2]
['踢', 'v', 2]
['金蛋', 'n', 2]
['奴颜', 'n', 2]
['绿绿', 'nr', 2]
['旧习', 'n', 2]
['决胜', 'v', 2]
['多元', 'm', 2]
['文才', 'n', 2]
['假意', 'v', 2]
['天文', 'nz', 2]
['晓星', 'nr', 2]
['风', 'n', 2]
['老年', 't', 2]
['立功', 'nr', 2]
['宵寒', 'i', 2]
['波心', 'n', 2]
['月', 'm', 2]
['天赐', 'n', 2]
['发行', 'v', 2]
['疲', 'zg', 2]
['知', 'v', 2]
['藩篱', 'ns', 2]
['枝节', 'n', 2]
['别扭', 'a', 2]
['景福', 'nr', 2]
['天成', 'nr', 2]
['身材', 'n', 2]
['舆图', 'n', 2]
['九章', 'm', 2]
['含珠', 'n', 2]
['出身', 'v', 2]
['晨风', 'n', 2]
['乌纱帽', 'n', 2]
['一枪', 'm', 2]
['名城', 'n', 2]
['拳脚', 'n', 2]
['清谈', 'v', 2]
['消', 'n', 2]
['新苗', 'n', 2]
['巾帼', 'b', 2]
['蜡', 'n', 2]
['锦鸡', 'ns', 2]
['万金', 'n', 2]
['赤兔', 'n', 2]
['古柏', 'nr', 2]
['铁笔', 'n', 2]
['率性', 'd', 2]
['止渴', 'v', 2]
['雪', 'n', 2]
['子', 'ng', 2]
['次', 'q', 2]
['滟', 'x', 2]
['微云', 'n', 2]
['月', 'm', 2]
['雍', 'nr', 2]
['股市', 'n', 2]
['弥天', 'nz', 2]
['石榴', 'n', 2]
['人', 'n', 2]
['翻开', 'v', 2]
['打算', 'v', 2]
['化成', 'v', 2]
['礼让', 'v', 2]
['警惕', 'v', 2]
['中', 'f', 2]
['斗草', 'n', 2]
['腹内', 's', 2]
['深', 'a', 2]
['沸', 'zg', 2]
['琴心', 'n', 2]
['安贫', 'a', 2]
['跨海', 'n', 2]
['蚕食', 'n', 2]
['玉屑', 'n', 2]
['下', 'f', 2]
['不当', 'd', 2]
['玉盘', 'n', 2]
['相邀', 'v', 2]
['沃野', 'nr', 2]
['太行', 'j', 2]
['养气', 'n', 2]
['龙颜', 'nr', 2]
['唾', 'zg', 2]
['箧', 'zg', 2]
['防盗', 'vn', 2]
['微醺', 'z', 2]
['转头', 'v', 2]
['红军', 'n', 2]
['上岗', 'ns', 2]
['廷', 'g', 2]
['来', 'v', 2]
['草书', 'n', 2]
['江村', 'ns', 2]
['玉指', 'n', 2]
['佐酒', 'n', 2]
['险峰', 'n', 2]
['在于', 'v', 2]
['盛宴', 'n', 2]
['马尾', 'nrt', 2]
['二十', 'm', 2]
['削', 'zg', 2]
['红雪', 'nr', 2]
['雨夜', 't', 2]
['道貌', 'n', 2]
['铭勋', 'n', 2]
['名言', 'n', 2]
['奇品', 'n', 2]
['古曲', 'n', 2]
['常流', 'n', 2]
['几代', 'm', 2]
['冷', 'a', 2]
['大同', 'd', 2]
['谦', 'nr', 2]
['惨淡', 'z', 2]
['未晚', 't', 2]
['肆', 'm', 2]
['临头', 'b', 2]
['香茶', 'n', 2]
['灶', 'n', 2]
['小乘', 'nr', 2]
['金城', 'ns', 2]
['舌头', 'n', 2]
['小孩', 'n', 2]
['寄语', 'n', 2]
['轻裘', 'n', 2]
['劈柴', 'n', 2]
['眷', 'n', 2]
['绝域', 'n', 2]
['熏风', 'n', 2]
['诱', 'v', 2]
['伙计', 'n', 2]
['绝处', 'd', 2]
['老幼', 'n', 2]
['蕃', 'n', 2]
['外', 'f', 2]
['冈', 'ns', 2]
['来自', 'v', 2]
['少', 'a', 2]
['仁德', 'nr', 2]
['青花', 'n', 2]
['殇', 'vg', 2]
['先人', 'n', 2]
['萦怀', 'v', 2]
['千户', 'm', 2]
['水竹', 'n', 2]
['长白', 'ns', 2]
['落', 'v', 2]
['航天', 'n', 2]
['脾', 'n', 2]
['呢喃', 'n', 2]
['化石', 'n', 2]
['地图', 'n', 2]
['藏身', 'n', 2]
['眼球', 'n', 2]
['始终', 'd', 2]
['温情', 'n', 2]
['玉碎', 'nz', 2]
['逮', 'zg', 2]
['抑', 'zg', 2]
['红绿', 'nr', 2]
['居官', 'n', 2]
['盘根', 'ns', 2]
['满心', 'v', 2]
['金针', 'n', 2]
['运气', 'n', 2]
['需要', 'v', 2]
['去路', 'n', 2]
['页', 'm', 2]
['友人', 'n', 2]
['圣哲', 'nr', 2]
['雅人', 'nrt', 2]
['铁画', 'n', 2]
['银灯', 'n', 2]
['贵宾', 'ns', 2]
['湖中', 's', 2]
['祈求', 'v', 2]
['铁石', 'n', 2]
['好话', 'v', 2]
['盘山', 'ns', 2]
['渐渐', 'd', 2]
['胜似', 'v', 2]
['鸟巢', 'n', 2]
['南朝', 't', 2]
['坏人', 'n', 2]
['所有', 'b', 2]
['守法', 'n', 2]
['上书', 'v', 2]
['长桥', 'ns', 2]
['雨脚', 'n', 2]
['陕西', 'ns', 2]
['逸气', 'n', 2]
['操刀', 'v', 2]
['脊梁', 'n', 2]
['养老', 'nr', 2]
['声韵', 'n', 2]
['何故', 'd', 2]
['红泪', 'n', 2]
['措施', 'n', 2]
['发达', 'v', 2]
['发火', 'v', 2]
['新添', 'v', 2]
['锡金', 'n', 2]
['火车', 'n', 2]
['地', 'uv', 2]
['载物', 'n', 2]
['飞歌', 'n', 2]
['不理', 'v', 2]
['碍', 'v', 2]
['不变', 'v', 2]
['翥', 'zg', 2]
['五分', 'm', 2]
['金乌', 'nr', 2]
['掌印', 'v', 2]
['开河', 'ns', 2]
['风干', 'n', 2]
['出没', 'v', 2]
['雄鹰', 'n', 2]
['韩信', 'nr', 2]
['伤痕', 'n', 2]
['诗歌', 'n', 2]
['临帖', 'n', 2]
['风飘', 'i', 2]
['野味', 'n', 2]
['有鬼', 'n', 2]
['鼻', 'n', 2]
['心', 'n', 2]
['皮厚', 'nr', 2]
['城楼', 'n', 2]
['见见', 'v', 2]
['墨', 'n', 2]
['昂扬', 'v', 2]
['坦坦', 'ns', 2]
['千回', 'm', 2]
['费神', 'n', 2]
['美眉', 'ns', 2]
['无法', 'n', 2]
['止步', 'd', 2]
['乐土', 'n', 2]
['站岗', 'v', 2]
['肇', 'ns', 2]
['天干', 'n', 2]
['同游', 'j', 2]
['经销', 'vn', 2]
['重要', 'a', 2]
['坦荡', 'v', 2]
['孚', 'nrt', 2]
['如真', 'c', 2]
['执著', 'a', 2]
['扛', 'zg', 2]
['后代', 't', 2]
['放松', 'v', 2]
['行孝', 'n', 2]
['枝叶', 'n', 2]
['龙蟠', 'nr', 2]
['记者', 'n', 2]
['易行', 'v', 2]
['幽情', 'n', 2]
['幽思', 'n', 2]
['不朽', 'a', 2]
['寒士', 'n', 2]
['老兵', 'n', 2]
['倚栏', 'v', 2]
['紫芝', 'nrt', 2]
['竹舍', 'n', 2]
['时', 'ng', 2]
['寒梦', 'nr', 2]
['两千', 'm', 2]
['弹雨', 'n', 2]
['题柱', 'n', 2]
['开', 'v', 2]
['气度', 'n', 2]
['岁', 'm', 2]
['超群', 'n', 2]
['黑海', 'ns', 2]
['新书', 'n', 2]
['共同', 'd', 2]
['威名', 'a', 2]
['白昼', 'nr', 2]
['八分', 'm', 2]
['高台', 'n', 2]
['风引', 'n', 2]
['晓', 'nr', 2]
['晚辈', 'n', 2]
['过隙', 'n', 2]
['巴人', 'nrt', 2]
['富国', 'ns', 2]
['私藏', 'n', 2]
['虚度', 'n', 2]
['师', 'ng', 2]
['断弦', 'n', 2]
['高处', 'd', 2]
['光', 'n', 2]
['春柳', 'nr', 2]
['炖', 'v', 2]
['玉帝', 'nr', 2]
['穿梭', 'v', 2]
['醒目', 'v', 2]
['纵目', 'n', 2]
['斜风', 'n', 2]
['升堂', 'n', 2]
['轩', 'nr', 2]
['山幽', 'nr', 2]
['悲风', 'n', 2]
['春城', 'n', 2]
['坦然', 'ad', 2]
['瓮', 'ns', 2]
['忽闻', 'v', 2]
['春阳', 't', 2]
['勿忘', 'l', 2]
['一步', 'm', 2]
['冒充', 'v', 2]
['鸡蛋', 'n', 2]
['年轮', 'n', 2]
['野意', 'n', 2]
['理念', 'n', 2]
['古稀', 'a', 2]
['学步', 'n', 2]
['红牛', 'nz', 2]
['杏花村', 'ns', 2]
['狗皮', 'n', 2]
['威严', 'a', 2]
['日', 'm', 2]
['革', 'vn', 2]
['小雪', 'n', 2]
['述', 'vg', 2]
['败叶', 'n', 2]
['柳边', 'nr', 2]
['百越', 'nz', 2]
['觉性', 'n', 2]
['顺水', 'n', 2]
['偏宜', 'v', 2]
['连天', 'd', 2]
['波', 'ns', 2]
['铺排', 'v', 2]
['除奸', 'v', 2]
['乘云', 'n', 2]
['罕', 'a', 2]
['寡人', 'n', 2]
['无水', 'v', 2]
['顶风', 'n', 2]
['米酒', 'n', 2]
['数字', 'n', 2]
['箴言', 'n', 2]
['回旋', 'v', 2]
['机缘', 'n', 2]
['技能', 'n', 2]
['粗人', 'n', 2]
['亚运', 'j', 2]
['条', 'n', 2]
['虬龙', 'n', 2]
['干城', 'n', 2]
['时', 'ng', 2]
['风日', 'n', 2]
['喷', 'v', 2]
['寻香', 'nr', 2]
['青铜', 'n', 2]
['明灯', 'n', 2]
['烁', 'zg', 2]
['宠', 'v', 2]
['缅怀', 'ns', 2]
['霜染', 'n', 2]
['之际', 'f', 2]
['火', 'n', 2]
['移步', 'vn', 2]
['思绪', 'n', 2]
['春宫', 'n', 2]
['瞎子', 'n', 2]
['听泉', 'n', 2]
['楼', 'n', 2]
['雅量', 'n', 2]
['身轻', 'n', 2]
['寻机', 'v', 2]
['陆游', 'n', 2]
['有序', 'n', 2]
['密密', 'ad', 2]
['差错', 'n', 2]
['根除', 'v', 2]
['岛外', 's', 2]
['牛犊', 'n', 2]
['人性', 'n', 2]
['江青', 'nr', 2]
['出入', 'v', 2]
['醋', 'n', 2]
['西东', 'ns', 2]
['特地', 'n', 2]
['消', 'v', 2]
['无权', 'n', 2]
['莲叶', 'n', 2]
['侠义', 'n', 2]
['生', 'vn', 2]
['瞧', 'v', 2]
['旧曲', 'n', 2]
['停泊', 'v', 2]
['跳水', 'v', 2]
['不惜', 'v', 2]
['舒怀', 'nr', 2]
['几年', 'm', 2]
['摆摊', 'v', 2]
['仁人', 'n', 2]
['相与', 'v', 2]
['惠农', 'nr', 2]
['在野', 'v', 2]
['数点', 'n', 2]
['爵', 'n', 2]
['草屋', 'n', 2]
['贤才', 'n', 2]
['顺境', 'n', 2]
['烈酒', 'n', 2]
['双翼', 'n', 2]
['款式', 'n', 2]
['渎', 'vn', 2]
['原形', 'n', 2]
['碧血', 'n', 2]
['优势', 'n', 2]
['乞巧', 'n', 2]
['路长', 'n', 2]
['雪', 'n', 2]
['咽喉', 'n', 2]
['是', 'v', 2]
['孤城', 'nr', 2]
['入梦', 'v', 2]
['山影', 'n', 2]
['血泪', 'n', 2]
['妖娆', 'a', 2]
['睹', 'v', 2]
['寂寂', 'a', 2]
['山翁', 'n', 2]
['轻盈', 'z', 2]
['清正', 'a', 2]
['冲动', 'vn', 2]
['锄禾', 'n', 2]
['办法', 'n', 2]
['冬至', 't', 2]
['地面', 'n', 2]
['巡航', 'v', 2]
['掉头', 'v', 2]
['小气', 'n', 2]
['淹留', 'v', 2]
['相传', 'v', 2]
['当初', 't', 2]
['仕', 'n', 2]
['八一', 'm', 2]
['茅台', 'n', 2]
['两扇', 'm', 2]
['庆功', 'v', 2]
['纤', 'n', 2]
['聚首', 'v', 2]
['半句', 'm', 2]
['尘间', 'n', 2]
['大荒', 'n', 2]
['伶', 'ns', 2]
['簟', 'g', 2]
['洁己', 'nz', 2]
['绿地', 'n', 2]
['庄周', 'nr', 2]
['遗憾', 'a', 2]
['者', 'k', 2]
['陕北', 'ns', 2]
['台湾', 'ns', 2]
['苦读', 'v', 2]
['七夕', 't', 2]
['经', 'n', 2]
['西南', 'ns', 2]
['悬梁', 'n', 2]
['真意', 'd', 2]
['拐弯', 'n', 2]
['地', 'uv', 2]
['倾盆', 'n', 2]
['前世', 't', 2]
['冒雨', 'v', 2]
['协调', 'v', 2]
['深林', 'ns', 2]
['看看', 'v', 2]
['发电', 'vn', 2]
['妙术', 'n', 2]
['水鸟', 'n', 2]
['版图', 'n', 2]
['如宾', 'ns', 2]
['青蛙', 'n', 2]
['枕席', 'n', 2]
['洞察', 'n', 2]
['良田', 'n', 2]
['锦衣', 'n', 2]
['圆心', 'n', 2]
['珠树', 'ns', 2]
['一致', 'd', 2]
['真名', 'a', 2]
['融融', 'n', 2]
['金童', 'n', 2]
['粤', 'j', 2]
['理论', 'n', 2]
['丫头', 'n', 2]
['廉明', 'nr', 2]
['冠盖', 'n', 2]
['井水', 'ns', 2]
['水溢', 'nr', 2]
['千岁', 'm', 2]
['筒', 'q', 2]
['妄想', 'v', 2]
['兜风', 'n', 2]
['详', 'ag', 2]
['曳尾', 'n', 2]
['九鼎', 'nz', 2]
['搂', 'v', 2]
['石', 'n', 2]
['新疆', 'ns', 2]
['出路', 'v', 2]
['屏风', 'n', 2]
['余风', 'nr', 2]
['黄粱', 'n', 2]
['公务', 'n', 2]
['柳', 'n', 2]
['心病', 'n', 2]
['东游', 'f', 2]
['锯', 'v', 2]
['寒冰', 'nr', 2]
['挺胸', 'v', 2]
['骨', 'ng', 2]
['消毒', 'vn', 2]
['比翼', 'n', 2]
['神乎', 'a', 2]
['违心', 'v', 2]
['水国', 'n', 2]
['相公', 'nr', 2]
['白蚁', 'n', 2]
['港', 'j', 2]
['爱', 'v', 2]
['曼', 'nr', 2]
['震耳', 'v', 2]
['严刑', 'v', 2]
['锐意', 'v', 2]
['花海', 'ns', 2]
['过', 'ug', 2]
['哀乐', 'a', 2]
['人', 'n', 2]
['绿洲', 'n', 2]
['生于', 'v', 2]
['成', 'n', 2]
['枕畔', 'n', 2]
['肠断', 'n', 2]
['巽', 'g', 2]
['妃子', 'n', 2]
['本草', 'n', 2]
['红白', 'nr', 2]
['五音', 'n', 2]
['心肠', 'n', 2]
['青光', 'n', 2]
['溪畔', 'n', 2]
['冀', 'ns', 2]
['弹丸', 'n', 2]
['一', 'm', 2]
['湖畔', 'ns', 2]
['个性', 'n', 2]
['飞腾', 'v', 2]
['萝', 'n', 2]
['客船', 'n', 2]
['上阵', 'v', 2]
['酒疯', 'n', 2]
['村里', 's', 2]
['冰霜', 'n', 2]
['凝聚', 'v', 2]
['减肥', 'v', 2]
['事故', 'n', 2]
['献身', 'v', 2]
['露脸', 'v', 2]
['柔肠', 'n', 2]
['埃及', 'ns', 2]
['瘦', 'a', 2]
['半卷', 'm', 2]
['战地', 'n', 2]
['兴学', 'n', 2]
['岑', 'nr', 2]
['发家', 'n', 2]
['人', 'n', 2]
['声', 'n', 2]
['达意', 'v', 2]
['纪律', 'n', 2]
['一桩', 'm', 2]
['行吟', 'v', 2]
['怒江', 'ns', 2]
['雨果', 'n', 2]
['演唱', 'v', 2]
['一如', 'c', 2]
['莫测', 'nr', 2]
['台风', 'ns', 2]
['灵气', 'n', 2]
['跟班', 'v', 2]
['同盟', 'j', 2]
['柚', 'n', 2]
['田亩', 'n', 2]
['三层', 'm', 2]
['德比', 'j', 2]
['贤妻', 'n', 2]
['相争', 'v', 2]
['表面', 'n', 2]
['龙藏', 'ns', 2]
['广纳', 'ns', 2]
['广寒', 'b', 2]
['三重', 'm', 2]
['粉面', 'n', 2]
['般若', 'z', 2]
['知情', 'n', 2]
['岱', 'ns', 2]
['采菊', 'nr', 2]
['血染', 'n', 2]
['赔偿', 'v', 2]
['材大', 'n', 2]
['地府', 'n', 2]
['介', 'nr', 2]
['邻里', 'n', 2]
['大腕', 'n', 2]
['灵峰', 'nr', 2]
['骅骝', 'n', 2]
['背上', 'f', 2]
['紫金', 'n', 2]
['照夜', 'd', 2]
['明秀', 'a', 2]
['箸', 'zg', 2]
['秋凉', 'nr', 2]
['雉', 'ng', 2]
['银屏', 'n', 2]
['帘', 'q', 2]
['寒暑', 'n', 2]
['冰壶', 'n', 2]
['滨', 'ns', 2]
['梅兰', 'nr', 2]
['垫', 'zg', 2]
['砚田', 'n', 2]
['无锡', 'ns', 2]
['未经', 'd', 2]
['缱绻', 'a', 2]
['欢欢', 'v', 2]
['明文', 'nr', 2]
['徒弟', 'n', 2]
['背后', 'f', 2]
['美恶', 'a', 2]
['平铺', 'n', 2]
['齐国', 'ns', 2]
['凭空', 'n', 2]
['络', 'v', 2]
['连枝', 'nr', 2]
['上', 'f', 2]
['几条', 'm', 2]
['汉代', 't', 2]
['种树', 'n', 2]
['有', 'v', 2]
['红豆', 'n', 2]
['独奏', 'v', 2]
['乌金', 'n', 2]
['莺', 'ng', 2]
['做戏', 'v', 2]
['师严', 'nr', 2]
['飞红', 'n', 2]
['青萍', 'nr', 2]
['删', 'v', 2]
['弦琴', 'nr', 2]
['俗话', 'v', 2]
['货财', 'n', 2]
['青烟', 'n', 2]
['陈情表', 'nr', 2]
['悉', 'ns', 2]
['穗', 'n', 2]
['抱', 'v', 2]
['凌晨', 't', 2]
['武将', 'n', 2]
['国土', 'n', 2]
['冰茶', 'n', 2]
['济济', 'ns', 2]
['绝境', 'n', 2]
['宿草', 'n', 2]
['水口', 'n', 2]
['虎威', 'ns', 2]
['离合', 'v', 2]
['骨肉', 'n', 2]
['死海', 'n', 2]
['诗仙', 'n', 2]
['警钟', 'n', 2]
['貔貅', 'n', 2]
['名画', 'n', 2]
['窗户', 'n', 2]
['衔泥', 'v', 2]
['芳名', 'n', 2]
['公明', 'n', 2]
['词章', 'n', 2]
['离骚', 'v', 2]
['户牖', 'n', 2]
['陇', 'ns', 2]
